Word,Description1,Description2,Description3,Description4,Description5
言わんこっちゃない,『言わんこっちゃない』とは前もって助言・忠告したにもかかわらずそれを無視して失敗し、痛い目を見た人に対して使う言葉です。,『言わんこっちゃない』とは前もって助言・忠告したにもかかわらずそれを無視して失敗し、痛い目を見た人に対して使う言葉です。,『言わんこっちゃない』とは前もって助言・忠告したにもかかわらずそれを無視して失敗し、痛い目を見た人に対して使う言葉です。,『言わんこっちゃない』とは前もって助言・忠告したにもかかわらずそれを無視して失敗し、痛い目を見た人に対して使う言葉です。,『言わんこっちゃない』とは前もって助言・忠告したにもかかわらずそれを無視して失敗し、痛い目を見た人に対して使う言葉です。
夏休み,『夏休み』は子どもにとって最高の季節です。学校の勉強から解放され、好きなことを好きなだけできます。夏休みの過ごし方は人それぞれで、海や山に遊びに行く人。家でゲームやテレビを見る人、自由研究や宿題をする人などがいます。,『夏休み』は子どもにとって最高の季節です。学校の勉強から解放され、好きなことを好きなだけできます。夏休みの過ごし方は人それぞれで、海や山に遊びに行く人。家でゲームやテレビを見る人、自由研究や宿題をする人などがいます。,『夏休み』は子どもにとって最高の季節です。学校の勉強から解放され、好きなことを好きなだけできます。夏休みの過ごし方は人それぞれで、海や山に遊びに行く人。家でゲームやテレビを見る人、自由研究や宿題をする人などがいます。,『夏休み』は子どもにとって最高の季節です。学校の勉強から解放され、好きなことを好きなだけできます。夏休みの過ごし方は人それぞれで、海や山に遊びに行く人。家でゲームやテレビを見る人、自由研究や宿題をする人などがいます。,『夏休み』は子どもにとって最高の季節です。学校の勉強から解放され、好きなことを好きなだけできます。夏休みの過ごし方は人それぞれで、海や山に遊びに行く人。家でゲームやテレビを見る人、自由研究や宿題をする人などがいます。
？？？,高度に発達した情報社会において、民衆を操作することはむしろ容易であるといえます。整備された情報インフラを享受するのみとなった人々に、自身の得る情報が政府や巨大な企業により操作されたものでないと証明する手段はもはやありません。,高度に発達した情報社会において、民衆を操作することはむしろ容易であるといえます。整備された情報インフラを享受するのみとなった人々に、自身の得る情報が政府や巨大な企業により操作されたものでないと証明する手段はもはやありません。,高度に発達した情報社会において、民衆を操作することはむしろ容易であるといえます。整備された情報インフラを享受するのみとなった人々に、自身の得る情報が政府や巨大な企業により操作されたものでないと証明する手段はもはやありません。,高度に発達した情報社会において、民衆を操作することはむしろ容易であるといえます。整備された情報インフラを享受するのみとなった人々に、自身の得る情報が政府や巨大な企業により操作されたものでないと証明する手段はもはやありません。,高度に発達した情報社会において、民衆を操作することはむしろ容易であるといえます。整備された情報インフラを享受するのみとなった人々に、自身の得る情報が政府や巨大な企業により操作されたものでないと証明する手段はもはやありません。
カポック,『カポック』とは熱帯アメリカ原産で、高さは約２０メートルにもなり、幹の周囲に大きな棘があるのが特徴です。実から採れる繊維は撥水性に優れ軽量で、枕の詰め物やソフトボールの芯として使われることもあります。,『カポック』とは熱帯アメリカ原産で、高さは約２０メートルにもなり、幹の周囲に大きな棘があるのが特徴です。実から採れる繊維は撥水性に優れ軽量で、枕の詰め物やソフトボールの芯として使われることもあります。,『カポック』とは熱帯アメリカ原産で、高さは約２０メートルにもなり、幹の周囲に大きな棘があるのが特徴です。実から採れる繊維は撥水性に優れ軽量で、枕の詰め物やソフトボールの芯として使われることもあります。,『カポック』とは熱帯アメリカ原産で、高さは約２０メートルにもなり、幹の周囲に大きな棘があるのが特徴です。実から採れる繊維は撥水性に優れ軽量で、枕の詰め物やソフトボールの芯として使われることもあります。,『カポック』とは熱帯アメリカ原産で、高さは約２０メートルにもなり、幹の周囲に大きな棘があるのが特徴です。実から採れる繊維は撥水性に優れ軽量で、枕の詰め物やソフトボールの芯として使われることもあります。
カポック,一般的に『カポック』という名前で販売されている観葉植物はウコギ科のヤドリフカノキであり、アオイ科セイバ属の、実から採れる繊維が枕の詰め物やソフトボールの芯として使われることもあるカポックとは、全く別の植物です。,一般的に『カポック』という名前で販売されている観葉植物はウコギ科のヤドリフカノキであり、アオイ科セイバ属の、実から採れる繊維が枕の詰め物やソフトボールの芯として使われることもあるカポックとは、全く別の植物です。,一般的に『カポック』という名前で販売されている観葉植物はウコギ科のヤドリフカノキであり、アオイ科セイバ属の、実から採れる繊維が枕の詰め物やソフトボールの芯として使われることもあるカポックとは、全く別の植物です。,一般的に『カポック』という名前で販売されている観葉植物はウコギ科のヤドリフカノキであり、アオイ科セイバ属の、実から採れる繊維が枕の詰め物やソフトボールの芯として使われることもあるカポックとは、全く別の植物です。,一般的に『カポック』という名前で販売されている観葉植物はウコギ科のヤドリフカノキであり、アオイ科セイバ属の、実から採れる繊維が枕の詰め物やソフトボールの芯として使われることもあるカポックとは、全く別の植物です。
ウエハース,『ウエハース』とは、小麦粉、卵、砂糖などを混ぜ合わせて、格子模様の入った型で挟み薄く焼いた洋菓子のことです。アイスクリームに添えられたり、クリームを挟んだりして食べられるのが一般的で、ウエハース単体で食べられることはまずありません。,『ウエハース』とは、小麦粉、卵、砂糖などを混ぜ合わせて、格子模様の入った型で挟み薄く焼いた洋菓子のことです。アイスクリームに添えられたり、クリームを挟んだりして食べられるのが一般的で、ウエハース単体で食べられることはまずありません。,『ウエハース』とは、小麦粉、卵、砂糖などを混ぜ合わせて、格子模様の入った型で挟み薄く焼いた洋菓子のことです。アイスクリームに添えられたり、クリームを挟んだりして食べられるのが一般的で、ウエハース単体で食べられることはまずありません。,『ウエハース』とは、小麦粉、卵、砂糖などを混ぜ合わせて、格子模様の入った型で挟み薄く焼いた洋菓子のことです。アイスクリームに添えられたり、クリームを挟んだりして食べられるのが一般的で、ウエハース単体で食べられることはまずありません。,『ウエハース』とは、小麦粉、卵、砂糖などを混ぜ合わせて、格子模様の入った型で挟み薄く焼いた洋菓子のことです。アイスクリームに添えられたり、クリームを挟んだりして食べられるのが一般的で、ウエハース単体で食べられることはまずありません。
みずほ銀行,『みずほ銀行』とは、みずほフィナンシャルグループ傘下の日本の都市銀行です。日本の金融業界をリードする存在として、常に新しいサービスを開発し、お客様のニーズに応えています。,『みずほ銀行』とは、みずほフィナンシャルグループ傘下の日本の都市銀行です。日本の金融業界をリードする存在として、常に新しいサービスを開発し、お客様のニーズに応えています。,『みずほ銀行』とは、みずほフィナンシャルグループ傘下の日本の都市銀行です。日本の金融業界をリードする存在として、常に新しいサービスを開発し、お客様のニーズに応えています。,『みずほ銀行』とは、みずほフィナンシャルグループ傘下の日本の都市銀行です。日本の金融業界をリードする存在として、常に新しいサービスを開発し、お客様のニーズに応えています。,『みずほ銀行』とは、みずほフィナンシャルグループ傘下の日本の都市銀行です。日本の金融業界をリードする存在として、常に新しいサービスを開発し、お客様のニーズに応えています。
お安い御用,『お安い御用』とは、江戸時代に町人の間で生まれた言葉です。頼まれごとに対して、それが全然苦ではなく気軽にできる事柄だということを表明し、依頼した相手の恐縮を和らげる目的で用いられます。,『お安い御用』とは、江戸時代に町人の間で生まれた言葉です。頼まれごとに対して、それが全然苦ではなく気軽にできる事柄だということを表明し、依頼した相手の恐縮を和らげる目的で用いられます。,『お安い御用』とは、江戸時代に町人の間で生まれた言葉です。頼まれごとに対して、それが全然苦ではなく気軽にできる事柄だということを表明し、依頼した相手の恐縮を和らげる目的で用いられます。,『お安い御用』とは、江戸時代に町人の間で生まれた言葉です。頼まれごとに対して、それが全然苦ではなく気軽にできる事柄だということを表明し、依頼した相手の恐縮を和らげる目的で用いられます。,『お安い御用』とは、江戸時代に町人の間で生まれた言葉です。頼まれごとに対して、それが全然苦ではなく気軽にできる事柄だということを表明し、依頼した相手の恐縮を和らげる目的で用いられます。
ビックマック,『ビッグマック』とは、ファストフードチェーンのマクドナルドで販売されている世界で最も有名なハンバーガーの商品名です。価格は各国の物価や為替レートによって異なりますが、日本では税込４５０円で販売されています。,『ビッグマック』とは、ファストフードチェーンのマクドナルドで販売されている世界で最も有名なハンバーガーの商品名です。価格は各国の物価や為替レートによって異なりますが、日本では税込４５０円で販売されています。,『ビッグマック』とは、ファストフードチェーンのマクドナルドで販売されている世界で最も有名なハンバーガーの商品名です。価格は各国の物価や為替レートによって異なりますが、日本では税込４５０円で販売されています。,『ビッグマック』とは、ファストフードチェーンのマクドナルドで販売されている世界で最も有名なハンバーガーの商品名です。価格は各国の物価や為替レートによって異なりますが、日本では税込４５０円で販売されています。,『ビッグマック』とは、ファストフードチェーンのマクドナルドで販売されている世界で最も有名なハンバーガーの商品名です。価格は各国の物価や為替レートによって異なりますが、日本では税込４５０円で販売されています。
モスチーズ,『モスチーズバーガー』は、日本のファストフードチェーン「モスバーガー」が提供する人気のハンバーガーです。チーズの風味とハンバーガーの相性が絶妙です。,『モスチーズバーガー』は、日本のファストフードチェーン「モスバーガー」が提供する人気のハンバーガーです。チーズの風味とハンバーガーの相性が絶妙です。,『モスチーズバーガー』は、日本のファストフードチェーン「モスバーガー」が提供する人気のハンバーガーです。チーズの風味とハンバーガーの相性が絶妙です。,『モスチーズバーガー』は、日本のファストフードチェーン「モスバーガー」が提供する人気のハンバーガーです。チーズの風味とハンバーガーの相性が絶妙です。,『モスチーズバーガー』は、日本のファストフードチェーン「モスバーガー」が提供する人気のハンバーガーです。チーズの風味とハンバーガーの相性が絶妙です。
